dishes,dirtiness,predicted_wash_time
0,0,9.999999999999996
0,5,9.999999999999996
0,10,9.999999999999996
0,15,9.999999999999996
0,20,9.999999999999996
0,25,9.999999999999996
0,30,9.999999999999996
0,35,17.9325551232166
0,40,20.6586345381526
0,45,21.773651635720597
0,50,22.088435374149658
0,55,21.773651635720597
0,60,20.6586345381526
0,65,20.33771371680091
0,70,19.338235294117638
0,75,21.89845844504021
0,80,23.699999999999996
0,85,24.956947743467925
0,90,25.791284403669714
0,95,26.271067415730325
0,100,26.428571428571423
5,0,9.999999999999996
5,5,9.999999999999998
5,10,10.0
5,15,10.0
5,20,10.0
5,25,10.0
5,30,10.0
5,35,18.25371120107963
5,40,20.989648033126286
5,45,22.094459582197995
5,50,22.094459582197995
5,55,22.094459582197995
5,60,20.989648033126286
5,65,20.7230060254061
5,70,19.79938271604938
5,75,22.431722689075627
5,80,24.270833333333336
5,85,25.547839506172842
5,90,26.392857142857142
5,95,26.392857142857142
5,100,26.392857142857142
10,0,9.999999999999996
10,5,9.999999999999998
10,10,10.0
10,15,9.999999999999996
10,20,10.0
10,25,10.0
10,30,10.0
10,35,19.394777265745006
10,40,22.118721461187203
10,45,22.118721461187203
10,50,22.118721461187203
10,55,22.118721461187203
10,60,22.118721461187203
10,65,22.0728966325139
10,70,21.503623188405793
10,75,24.362864077669904
10,80,26.309523809523814
10,85,26.309523809523814
10,90,26.309523809523814
10,95,26.309523809523814
10,100,26.309523809523814
15,0,19.130841121495312
15,5,19.211549793753665
15,10,19.462469733656157
15,15,19.912492073557367
15,20,20.61956521739129
15,25,21.691847419596098
15,30,22.207584830339325
15,35,27.798463356973997
15,40,29.080912522566873
15,45,29.080912522566873
15,50,29.080912522566873
15,55,29.080912522566873
15,60,29.080912522566873
15,65,29.254119850187266
15,70,31.00574712643678
15,75,32.587736105123646
15,80,32.587736105123646
15,85,32.587736105123646
15,90,32.587736105123646
15,95,32.587736105123646
15,100,32.587736105123646
20,0,21.51094890510948
20,5,21.59026182820394
20,10,21.83489681050656
20,15,22.10325142715313
20,20,22.118721461187203
20,25,22.14704842700601
20,30,22.207584830339325
20,35,31.402845834903886
20,40,48.05555555555557
20,45,48.19444444444445
20,50,48.19444444444445
20,55,48.19444444444445
20,60,48.05555555555557
20,65,49.433727034120736
20,70,55.5952380952381
20,75,55.86538461538461
20,80,56.111111111111114
20,85,56.32575757575758
20,90,56.388888888888886
20,95,56.388888888888886
20,100,56.388888888888886
25,0,22.088435374149658
25,5,22.0898682220782
25,10,22.094459582197995
25,15,22.10325142715313
25,20,22.118721461187203
25,25,22.14704842700601
25,30,22.207584830339325
25,35,31.402845834903886
25,40,48.05555555555557
25,45,48.250000000000014
25,50,48.33333333333333
25,55,48.250000000000014
25,60,48.05555555555557
25,65,49.433727034120736
25,70,55.5952380952381
25,75,55.86538461538461
25,80,56.111111111111114
25,85,56.32575757575758
25,90,56.5
25,95,56.62037037037036
25,100,56.666666666666664
30,0,21.51094890510948
30,5,21.59026182820394
30,10,21.83489681050656
30,15,22.10325142715313
30,20,22.118721461187203
30,25,22.14704842700601
30,30,22.207584830339325
30,35,31.402845834903886
30,40,48.05555555555557
30,45,48.19444444444445
30,50,48.19444444444445
30,55,48.19444444444445
30,60,48.05555555555557
30,65,49.433727034120736
30,70,55.5952380952381
30,75,55.86538461538461
30,80,56.111111111111114
30,85,56.32575757575758
30,90,56.388888888888886
30,95,56.388888888888886
30,100,56.388888888888886
35,0,23.1310005053057
35,5,23.231288187372698
35,10,23.541558103178726
35,15,24.092326464208227
35,20,24.943214491086817
35,25,26.200903990024923
35,30,27.798463356973997
35,35,35.140482328929004
35,40,50.23880597014925
35,45,50.23880597014925
35,50,50.23880597014925
35,55,50.23880597014925
35,60,50.23880597014925
35,65,50.611111111111114
35,70,55.5952380952381
35,75,55.77777777777777
35,80,55.77777777777777
35,85,55.77777777777777
35,90,55.77777777777777
35,95,55.77777777777777
35,100,55.77777777777777
40,0,23.699999999999996
40,5,23.838383838383837
40,10,24.270833333333336
40,15,25.05494505494505
40,20,26.309523809523814
40,25,26.25686813186813
40,30,26.198979591836732
40,35,34.9816064040295
40,40,56.111111111111114
40,45,56.111111111111114
40,50,56.111111111111114
40,55,56.111111111111114
40,60,56.111111111111114
40,65,55.5952380952381
40,70,55.5952380952381
40,75,55.86538461538461
40,80,56.111111111111114
40,85,56.111111111111114
40,90,56.111111111111114
40,95,56.111111111111114
40,100,56.111111111111114
45,0,25.791284403669714
45,5,25.937499999999993
45,10,26.392857142857142
45,15,26.355519480519476
45,20,26.309523809523814
45,25,26.25686813186813
45,30,26.198979591836732
45,35,34.9816064040295
45,40,56.111111111111114
45,45,56.5
45,50,56.5
45,55,56.5
45,60,56.111111111111114
45,65,55.5952380952381
45,70,55.5952380952381
45,75,55.86538461538461
45,80,56.111111111111114
45,85,56.32575757575758
45,90,56.5
45,95,56.5
45,100,56.5
50,0,26.428571428571423
50,5,26.418650793650787
50,10,26.392857142857142
50,15,26.355519480519476
50,20,26.309523809523814
50,25,26.25686813186813
50,30,26.198979591836732
50,35,34.9816064040295
50,40,56.111111111111114
50,45,56.5
50,50,56.666666666666664
50,55,56.5
50,60,56.111111111111114
50,65,55.5952380952381
50,70,55.5952380952381
50,75,55.86538461538461
50,80,56.111111111111114
50,85,56.32575757575758
50,90,56.5
50,95,56.62037037037036
50,100,56.666666666666664
